Sitename: Lucky Hills Shrubland Arizona USA
Location: Latitude: 31.7438  Longitude: -110.0522  Elevation (masl): 1370
Principal investigator: Russell Scott
Ecosystem type: OSH Open Shrublands
File creation date: 09APR2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2007,0,233.33333,233,800,0.145,24.67,265.6,0.425,-3.661,-3.661,0,53.023,-6999,47.567,-6999,41.255,26.2,5,27.9,15,0,60.537,86.383,377.367,1.226,3,11,137.8,550.958,346.8,-6999,105.229,-9999,-9999,-9999,23.809,-6999,-6999,377.367,3.1,-6999,-6999,-6999,-6999
2007,0,233.35417,233,830,0.134,25.825,228.7,0.721,-4.247,-4.247,0,66.122,-6999,73.314,-6999,70.938,28.05,5,27.8,15,0,55.039,86.393,376.874,1.496,3,11,204.6,665.677,452.15,-6999,140.821,-9999,-9999,-9999,23.402,-6999,-6999,376.874,3.1,-6999,-6999,-6999,-6999
2007,0,233.37500,233,900,0.217,26.77,319.1,1.2,-3.059,-3.059,0,79.787,-6999,75.462,-6999,101.04,30.3,5,27.8,15,0,50.568,86.397,375.405,1.739,3,11,303.7,972.014,594.1,-6999,189.062,-9999,-9999,-9999,22.759,-6999,-6999,375.405,3.1,-6999,-6999,-6999,-6999
2007,0,233.39583,233,930,0.252,27.48,327,2.091,-3.502,-3.502,0,118.378,-6999,96.704,-6999,133.878,32.701,5,27.85,15,0,47.646,86.384,373.956,1.92,3,11,368.7,1193.007,684.8,-6999,222.702,-9999,-9999,-9999,22.456,-6999,-6999,373.956,3.1,-6999,-6999,-6999,-6999
2007,0,233.41667,233,1000,0.33,28.11,331.5,3.161,-3.622,-3.622,0,151.394,-6999,98.83,-6999,145.97,35.1,5,28.1,15,0,44.537,86.39,372.485,2.11,3,11,441.5,1368.185,784,-6999,258.765,-9999,-9999,-9999,21.895,-6999,-6999,372.485,3.1,-6999,-6999,-6999,-6999
2007,0,233.43750,233,1030,0.387,28.865,342.3,3.505,-2.781,-2.781,0,152.762,-6999,88.414,-6999,139.339,37.15,5,28.45,15,0,41.884,86.368,371.616,2.31,4,11,446.9,1396.483,796.5,-6999,266.301,-9999,-9999,-9999,21.738,-6999,-6999,371.616,3.1,-6999,-6999,-6999,-6999
2007,0,233.45833,233,1100,0.368,29.39,326.7,3.725,-3.02,-3.02,0,195.869,-6999,111.152,-6999,129.544,39.1,5,28.9,15,0,40.495,86.349,372.039,2.438,4,11,536.2,1605.349,919,-6999,308.823,-9999,-9999,-9999,21.651,-6999,-6999,372.039,3.1,-6999,-6999,-6999,-6999
2007,0,233.47917,233,1130,0.424,30.34,330.1,4.081,-2.275,-2.275,0,205.014,-6999,114.316,-6999,136.487,41.25,5,29.4,15,0,36.901,86.318,371.892,2.731,4,12,581.2,1676.768,958,-6999,322.885,-9999,-9999,-9999,21.26,-6999,-6999,371.892,3.1,-6999,-6999,-6999,-6999
2007,0,233.50000,233,1200,0.463,30.72,337.6,4.539,-1.945,-1.945,0,216.195,-6999,98.606,-6999,140.688,43.1,5,30,15,0,36.281,86.278,371.694,2.818,4,12,602.3,1738.305,991,-6999,335.332,-9999,-9999,-9999,21.362,-6999,-6999,371.694,3.1,-6999,-6999,-6999,-6999
2007,0,233.52083,233,1230,0.435,31.315,330.6,3.768,-1.67,-1.67,0,228.793,-6999,106.033,-6999,147.471,44.75,5,30.6,15,0,35.351,86.25,371.411,2.958,4,11.5,611.2,1759.865,999.5,-6999,341.454,-9999,-9999,-9999,21.786,-6999,-6999,371.411,3.1,-6999,-6999,-6999,-6999
2007,0,233.54167,233,1300,0.409,32.21,337.4,3.664,-1.438,-1.438,0,237.023,-6999,119.279,-6999,147.857,46.2,5,31.3,15,0,32.488,86.229,371.841,3.25,4,12,610.5,1757.17,995,-6999,341.118,-9999,-9999,-9999,21.113,-6999,-6999,371.841,3.1,-6999,-6999,-6999,-6999
2007,0,233.56250,233,1330,0.373,32.76,330,3.179,-1.154,-1.154,0,207.894,-6999,100.911,-6999,133.633,47.4,5,32,15,0,29.782,86.204,372.371,3.487,4,12,599.4,1728.872,976,-6999,339.369,-9999,-9999,-9999,20.01,-6999,-6999,372.371,3.1,-6999,-6999,-6999,-6999
2007,0,233.58333,233,1400,0.43,33.25,325.9,4.03,-1.402,-1.402,0,217.539,-6999,99.85,-6999,117.692,48.3,5,32.701,15,0,28.001,86.154,371.476,3.675,4,12,579.1,1679.912,942,-6999,328.334,-9999,-9999,-9999,19.256,-6999,-6999,371.476,3.1,-6999,-6999,-6999,-6999
2007,0,233.60417,233,1430,0.385,33.745,330.1,3.567,-0.927,-0.927,0,205.466,-6999,101.123,-6999,93.628,48.85,5,33.4,15,0,26.29,86.106,371.542,3.868,4,12,543,1589.179,885,-6999,312.591,-9999,-9999,-9999,18.632,-6999,-6999,371.542,3.1,-6999,-6999,-6999,-6999
2007,0,233.62500,233,1500,0.392,34.18,330.8,3.554,-1.284,-1.284,0,206.509,-6999,93.223,-6999,81.741,49.1,5,34.1,15,0,25.664,86.057,371.626,3.996,4,12,502.5,1481.377,817,-6999,291.06,-9999,-9999,-9999,18.703,-6999,-6999,371.626,3.1,-6999,-6999,-6999,-6999
2007,0,233.64583,233,1530,0.388,34.02,348.9,4.094,-1.415,-1.415,0,188.587,-6999,63.796,-6999,59.196,48.7,5,34.65,15,0,27.279,86.014,371.228,3.875,4,12,447.5,1343.481,731.5,-6999,262.129,-9999,-9999,-9999,19.74,-6999,-6999,371.228,3.1,-6999,-6999,-6999,-6999
2007,0,233.66667,233,1600,0.454,33.99,334.9,4.304,-0.959,-0.959,0,165.7,-6999,93.262,-6999,36.548,47.2,5,35.2,15,0,28.253,85.975,371.054,3.817,4,12,385.3,1177.735,634.8,-6999,228.623,-9999,-9999,-9999,20.276,-6999,-6999,371.054,3.1,-6999,-6999,-6999,-6999
2007,0,233.68750,233,1630,0.436,34.035,318.3,4.098,-0.711,-0.711,0,131.298,-6999,91.89,-6999,13.346,46.35,5,35.65,15,0,28.389,85.948,371.016,3.819,4,12,313.8,990.43,528.6,-6999,189.802,-9999,-9999,-9999,20.556,-6999,-6999,371.016,3.1,-6999,-6999,-6999,-6999
2007,0,233.70833,233,1700,0.418,33.81,317.2,3.587,-0.87,-0.87,0,105.157,-6999,80.727,-6999,2.21,45.5,5,36,15,0,29.116,85.932,370.688,3.733,4,12,225.9,804.022,426.5,-6999,150.846,-9999,-9999,-9999,20.964,-6999,-6999,370.688,3.1,-6999,-6999,-6999,-6999
2007,0,233.72917,233,1730,0.406,33.615,309.4,3.315,-0.745,-0.745,0,70.2,-6999,54.803,-6999,-8.596,44.15,5,36.25,15,0,29.955,85.926,369.817,3.649,3.5,12.5,142.7,584.87,308.1,-6999,107.489,-9999,-9999,-9999,21.383,-6999,-6999,369.817,3.1,-6999,-6999,-6999,-6999
2007,0,233.75000,233,1800,0.461,32.97,305.6,4.182,-0.395,-0.395,0,46.115,-6999,54.602,-6999,-29.891,42.1,5,36.4,15,0,31.594,85.902,370.471,3.437,3,12,5.876,368.683,194.1,-6999,65.64,-9999,-9999,-9999,21.605,-6999,-6999,370.471,3.1,-6999,-6999,-6999,-6999
2007,0,233.77083,233,1830,0.442,32.186,308.9,4.244,0.223,0.223,0,13.829,-6999,28.704,-6999,-60.542,39.75,5,36.5,15,0,32.738,85.907,370.857,3.233,3,12,-40.83,174.37,92.135,-6999,30.257,-9999,-9999,-9999,21.512,-6999,-6999,370.857,3.1,-6999,-6999,-6999,-6999
2007,0,233.79167,233,1900,0.439,31.16,306.7,4.141,1.307,1.307,0,-9.869,-6999,12.159,-6999,-76.976,37.7,5,36.4,15,0,33.803,85.92,371.758,3.002,3,13,-74.73,31.029,15.04,-6999,7.062,-9999,-9999,-9999,20.993,-6999,-6999,371.758,3.1,-6999,-6999,-6999,-6999
2007,0,233.81250,233,1930,0.401,30.325,307.1,4.008,1.341,1.341,0,-16.71,-6999,10.569,-6999,-83.325,36,5,36.25,15,0,34.888,85.931,372.507,2.816,3,12,-89,1.467,1.411,-6999,1.661,-9999,-9999,-9999,20.582,-6999,-6999,372.507,3.1,-6999,-6999,-6999,-6999
2007,0,233.83333,233,2000,0.294,29.56,311.2,3.089,1.235,1.235,0,-18.064,-6999,9.243,-6999,-79.709,34.6,5,36,15,0,36.139,85.971,373.756,2.643,3,12,-87.2,-0.181,0.581,-6999,1.621,-9999,-9999,-9999,20.227,-6999,-6999,373.756,3.1,-6999,-6999,-6999,-6999
2007,0,233.85417,233,2030,0.211,28.535,316.8,2.003,1.56,1.56,0,-19.324,-6999,5.552,-6999,-72.751,33.5,5,35.65,15,0,38.31,86.008,375.878,2.406,2,12,-85.2,-0.118,0.535,-6999,1.621,-9999,-9999,-9999,19.972,-6999,-6999,375.878,3.1,-6999,-6999,-6999,-6999
2007,0,233.87500,233,2100,0.174,27.47,314.7,1.774,1.512,1.512,0,-17.189,-6999,5.895,-6999,-70.199,32.5,5,35.3,15,0,41.275,86.039,378.477,2.153,2,12,-81.9,-0.15,0.433,-6999,1.621,-9999,-9999,-9999,20.01,-6999,-6999,378.477,3.1,-6999,-6999,-6999,-6999
2007,0,233.89583,233,2130,0.127,26.895,321.8,1.963,1.294,1.294,0,-15.554,-6999,5.428,-6999,-67.18,31.6,5,34.9,15,0,42.662,86.06,379.181,2.032,2,12,-78.81,-0.299,0.17,-6999,1.614,-9999,-9999,-9999,19.921,-6999,-6999,379.181,3.1,-6999,-6999,-6999,-6999
2007,0,233.91667,233,2200,0.109,26.19,342.8,1.849,1.237,1.237,0,-12.435,-6999,4.292,-6999,-64.165,30.8,5,34.5,15,0,44.957,86.056,381.138,1.871,2,12,-77,-0.442,-0.055,-6999,1.513,-9999,-9999,-9999,19.984,-6999,-6999,381.138,3.1,-6999,-6999,-6999,-6999
2007,0,233.93750,233,2230,0.113,25.555,2.064,1.834,1.61,1.61,0,-12.284,-6999,4.295,-6999,-60.883,30.15,5,34.15,15,0,47.301,86.031,386.255,1.726,2,12,-75.31,-0.5,-0.082,-6999,1.317,-9999,-9999,-9999,20.214,-6999,-6999,386.255,3.1,-6999,-6999,-6999,-6999
2007,0,233.95833,233,2300,0.132,25.07,6.678,1.795,1.498,1.498,0,-12.458,-6999,5.742,-6999,-58.465,29.5,5,33.8,15,0,48.565,86.02,387.376,1.636,2,12,-74.13,-0.536,-0.126,-6999,1.135,-9999,-9999,-9999,20.102,-6999,-6999,387.376,3.1,-6999,-6999,-6999,-6999
2007,0,233.97917,233,2330,0.081,24.595,25.15,1.69,1.341,1.341,0,-10.263,-6999,4.914,-6999,-56.056,28.95,5,33.4,15,0,49.904,86.022,389.179,1.549,2,12,-72.65,-0.619,-0.211,-6999,0.979,-9999,-9999,-9999,20.081,-6999,-6999,389.179,3.1,-6999,-6999,-6999,-6999
2007,-1,234.00000,234,000,0.101,24.19,44.19,0.793,-9999,-9999,0,-9999,-6999,-9999,-6999,-54.806,28.4,5,33,15,0,51.053,86.028,388.747,1.477,2,12,-70.03,-0.788,-0.274,-6999,0.784,-9999,-9999,-9999,19.904,-6999,-6999,388.747,3.1,-6999,-6999,-6999,-6999
2007,-1,234.02083,234,030,0.144,23.935,101.7,0.255,-9999,-9999,0,-2.757,-6999,1.614,-6999,-54.219,27.85,5,32.65,15,0,51.302,86.016,390.822,1.448,2,12,-69.63,-0.828,-0.277,-6999,0.784,-9999,-9999,-9999,19.72,-6999,-6999,390.822,3.1,-6999,-6999,-6999,-6999
2007,0,234.04167,234,100,0.085,23.8,118.3,0.746,-0.259,-0.259,0,1.59,-6999,-1.154,-6999,-52.985,27.4,5,32.3,15,0,51.944,86.025,392.885,1.417,2,12,-68.51,-0.892,-0.367,-6999,0.716,-9999,-9999,-9999,19.778,-6999,-6999,392.885,3.1,-6999,-6999,-6999,-6999
2007,-1,234.06250,234,130,0.352,23.085,158.2,2.361,-9999,-9999,0,3.531,-6999,-9999,-6999,-50.76,27,5,32,15,0,59.236,86.081,395.775,1.151,2,12,-65.43,-0.923,-0.386,-6999,0.642,-9999,-9999,-9999,20.915,-6999,-6999,395.775,3.1,-6999,-6999,-6999,-6999
2007,0,234.08333,234,200,1.005,21.61,178.2,9.498,-0.409,-0.409,0,13.62,-6999,-9999,-6999,-46.736,26.7,5,31.7,15,0,66.865,86.14,370.512,0.856,2,12,-66.47,-0.931,-0.362,-6999,0.568,-9999,-9999,-9999,22.942,-6999,-6999,370.512,3.1,-6999,-6999,-6999,-6999
2007,0,234.10417,234,230,1.05,20.79,179.2,9.728,2.953,2.953,0,17.505,-6999,9.076,-6999,-61.377,26.1,5,31.4,15,0,68.469,86.152,369.697,0.774,2,11.5,-60.03,-0.935,-0.523,-6999,0.399,-9999,-9999,-9999,21.72,-6999,-6999,369.697,3.1,-6999,-6999,-6999,-6999
2007,0,234.12500,234,300,0.789,20.73,181.3,7.562,1.857,1.857,0,-4.357,-6999,11.308,-6999,-59.526,25.6,5,31.1,15,0,68.224,86.156,369.795,0.777,2,11,-65.51,-0.946,-0.225,-6999,0.311,-9999,-9999,-9999,21.603,-6999,-6999,369.795,3.1,-6999,-6999,-6999,-6999
2007,0,234.14583,234,330,0.689,21.335,181.9,6.36,1.671,1.671,0,-15.888,-6999,11.345,-6999,-52.352,25.3,5,30.7,15,0,63.008,86.132,370.111,0.939,2,12,-66.42,-0.946,-0.296,-6999,0.278,-9999,-9999,-9999,20.785,-6999,-6999,370.111,3.1,-6999,-6999,-6999,-6999
2007,0,234.16667,234,400,0.503,21.58,180.8,4.797,1.314,1.314,0,-21.523,-6999,13.644,-6999,-45.528,25,5,30.4,15,0,60.625,86.12,370.277,1.015,2,11,-67.64,-0.946,-0.46,-6999,0.231,-9999,-9999,-9999,20.188,-6999,-6999,370.277,3.1,-6999,-6999,-6999,-6999
2007,0,234.18750,234,430,0.121,21.525,299.8,0.235,0.189,0.189,0,-10.525,-6999,4.252,-6999,-42.712,24.65,5,30.15,15,0,59.696,86.151,371.522,1.035,2,11.5,-68.98,-0.942,-0.529,-6999,0.231,-9999,-9999,-9999,19.868,-6999,-6999,371.522,3.1,-6999,-6999,-6999,-6999
2007,0,234.20833,234,500,0.151,20.23,5.254,1.194,-1.145,-1.145,0,-0.684,-6999,-0.805,-6999,-45.102,24.3,5,29.9,15,0,65.903,86.149,375.196,0.809,2,11,-66.86,-0.946,-0.537,-6999,0.148,-9999,-9999,-9999,20.212,-6999,-6999,375.196,3.1,-6999,-6999,-6999,-6999
2007,0,234.22917,234,530,0.189,19.655,69.37,1.21,1.155,1.155,0,-8.652,-6999,2.189,-6999,-49.626,23.95,5,29.6,15,0,68.358,86.171,378.409,0.724,2,11,-65.34,-0.777,-0.606,-6999,0.156,-9999,-9999,-9999,20.27,-6999,-6999,378.409,3.1,-6999,-6999,-6999,-6999
2007,0,234.25000,234,600,0.231,18.99,73.13,1.365,1.103,1.103,0,-8.103,-6999,2.581,-6999,-50.088,23.6,5,29.3,15,0,71.416,86.198,383.211,0.628,2,11,-61.63,7.6,2.812,-6999,2.608,-9999,-9999,-9999,20.334,-6999,-6999,383.211,3.1,-6999,-6999,-6999,-6999
2007,-1,234.27083,234,630,0.194,20.32,50.94,1.201,-9999,-9999,0,-9999,-6999,-9999,-6999,-45.248,23.5,5,29.1,15,0,65.533,86.2,375.985,0.822,2,11,-39.73,61.025,51,-6999,15.279,-9999,-9999,-9999,20.099,-6999,-6999,375.985,3.1,-6999,-6999,-6999,-6999
2007,-1,234.29167,234,700,0.188,22.02,39.64,1.338,-9999,-9999,0,-9999,-6999,-9999,-6999,-25.081,23.6,5,28.8,15,0,61.95,86.212,371.545,1.007,2,11,9.63,139.963,146.5,-6999,40.302,-9999,-9999,-9999,21.062,-6999,-6999,371.545,3.1,-6999,-6999,-6999,-6999
2007,0,234.31250,234,730,0.178,23.895,19.72,1.243,-3.14,-3.14,0,34.974,-6999,34.525,-6999,10.366,24.65,5,28.6,15,0,55.302,86.237,368.952,1.326,2,11,74.38,380.631,253.4,-6999,73.667,-9999,-9999,-9999,21.371,-6999,-6999,368.952,3.1,-6999,-6999,-6999,-6999
2007,0,234.33333,234,800,0.203,24.94,329.2,2.084,-2.195,-2.195,0,29.477,-6999,48.429,-6999,41.417,26.3,5,28.4,15,0,50.654,86.223,369.786,1.558,2,11,144.9,568.565,366.9,-6999,110.88,-9999,-9999,-9999,20.615,-6999,-6999,369.786,3.1,-6999,-6999,-6999,-6999
2007,0,234.35417,234,830,0.288,25.74,315.1,2.39,-2.361,-2.361,0,59.238,-6999,63.409,-6999,73.876,28.3,5,28.25,15,0,48.05,86.205,369.101,1.72,3,11,220.1,753.266,480.1,-6999,149.836,-9999,-9999,-9999,20.739,-6999,-6999,369.101,3.1,-6999,-6999,-6999,-6999
2007,0,234.37500,234,900,0.284,26.53,275.7,2.015,-2.647,-2.647,0,92.52,-6999,76.963,-6999,100.48,30.5,5,28.2,15,0,46.383,86.214,369.859,1.86,3,11,291.3,1016.033,585.7,-6999,187.581,-9999,-9999,-9999,20.906,-6999,-6999,369.859,3.1,-6999,-6999,-6999,-6999
2007,0,234.39583,234,930,0.242,27.44,293.2,1.384,-2.563,-2.563,0,116.73,-6999,86.792,-6999,130.309,32.95,5,28.35,15,0,44.6,86.227,370.444,2.027,3,11,362.2,1197.499,687.7,-6999,224.384,-9999,-9999,-9999,21.361,-6999,-6999,370.444,3.1,-6999,-6999,-6999,-6999
2007,0,234.41667,234,1000,0.305,28.48,321.4,1.399,-3.211,-3.211,0,179.693,-6999,120.855,-6999,152.12,35.5,5,28.5,15,0,41.77,86.232,370.311,2.264,3,11,424.9,1355.609,779,-6999,257.42,-9999,-9999,-9999,21.47,-6999,-6999,370.311,3.1,-6999,-6999,-6999,-6999
2007,0,234.43750,234,1030,0.288,29.17,320.9,2.386,-1.715,-1.715,0,168.576,-6999,87.633,-6999,153.755,37.9,5,28.8,15,0,39.011,86.216,370.435,2.468,4,11,484.1,1492.607,855.5,-6999,286.418,-9999,-9999,-9999,21.086,-6999,-6999,370.435,3.1,-6999,-6999,-6999,-6999
2007,0,234.45833,234,1100,0.311,29.75,336.1,2.786,-1.393,-1.393,0,163.154,-6999,92.189,-6999,153.689,40.1,5,29.2,15,0,36.14,86.194,371.1,2.672,4,11,528.1,1601.756,919,-6999,309.765,-9999,-9999,-9999,20.5,-6999,-6999,371.1,3.1,-6999,-6999,-6999,-6999
2007,0,234.47917,234,1130,0.365,30.435,338.4,3.572,-1.652,-1.652,0,194.483,-6999,100.894,-6999,130.101,42.1,5,29.75,15,0,33.811,86.172,370.532,2.88,4,11.5,564.7,1680.811,962.5,-6999,325.239,-9999,-9999,-9999,20.103,-6999,-6999,370.532,3.1,-6999,-6999,-6999,-6999
2007,0,234.50000,234,1200,0.34,30.98,331.6,3.267,-1.161,-1.161,0,223.349,-6999,108.675,-6999,133.43,44,5,30.3,15,0,31.685,86.155,370.6,3.067,4,11,587.9,1737.407,993,-6999,336.812,-9999,-9999,-9999,19.506,-6999,-6999,370.6,3.1,-6999,-6999,-6999,-6999
2007,0,234.52083,234,1230,0.415,31.77,331.6,3.488,-1.195,-1.195,0,244.503,-6999,110.27,-6999,145.574,45.6,5,31,15,0,29.418,86.126,370.721,3.314,4,12,598,1762.56,1004,-6999,343.675,-9999,-9999,-9999,18.93,-6999,-6999,370.721,3.1,-6999,-6999,-6999,-6999
2007,0,234.54167,234,1300,0.348,32.1,334.5,3.201,-1.129,-1.129,0,239.172,-6999,92.491,-6999,143.271,47,5,31.6,15,0,28.463,86.092,370.799,3.422,4,12,599.2,1762.56,1001,-6999,343.675,-9999,-9999,-9999,18.583,-6999,-6999,370.799,3.1,-6999,-6999,-6999,-6999
2007,0,234.56250,234,1330,0.356,32.675,330.9,2.204,-0.788,-0.788,0,221.603,-6999,95.725,-6999,131.984,48.15,5,32.35,15,0,26.176,86.06,371.258,3.648,4,12,586.4,1729.771,979.5,-6999,340.849,-9999,-9999,-9999,17.672,-6999,-6999,371.258,3.1,-6999,-6999,-6999,-6999
2007,0,234.58333,234,1400,0.325,33.5,336.4,2.273,-0.75,-0.75,0,229.537,-6999,107.652,-6999,120.703,49.1,5,33,15,0,25.02,86.019,371.686,3.881,4,12,563.4,1669.132,941,-6999,327.258,-9999,-9999,-9999,17.747,-6999,-6999,371.686,3.1,-6999,-6999,-6999,-6999
2007,0,234.60417,234,1430,0.308,33.58,339.3,2.924,-0.59,-0.59,0,213.714,-6999,89.986,-6999,100.783,49.6,5,33.75,15,0,24.264,85.98,371.615,3.938,4,11.5,532,1585.137,885,-6999,312.927,-9999,-9999,-9999,17.323,-6999,-6999,371.615,3.1,-6999,-6999,-6999,-6999
2007,0,234.62500,234,1500,0.298,33.9,3.302,2.637,-1.009,-1.009,0,209.156,-6999,102.487,-6999,72.953,49.7,5,34.4,15,0,23.405,85.937,371.546,4.054,4,12,486.5,1475.089,817,-6999,290.791,-9999,-9999,-9999,17.145,-6999,-6999,371.546,3.1,-6999,-6999,-6999,-6999
2007,0,234.64583,234,1530,0.312,33.93,305.8,1.529,-0.611,-0.611,0,177.302,-6999,76.672,-6999,57.33,49.35,5,35,15,0,23.764,85.898,371.281,4.042,4,12,433.6,1336.743,732.5,-6999,261.591,-9999,-9999,-9999,17.384,-6999,-6999,371.281,3.1,-6999,-6999,-6999,-6999
2007,0,234.66667,234,1600,0.357,34.55,286.3,1.994,-0.697,-0.697,0,178.195,-6999,122.331,-6999,40.635,48,5,35.5,15,0,23.987,85.868,371.462,4.172,4,12,370.4,1190.312,651.3,-6999,232.256,-9999,-9999,-9999,18.118,-6999,-6999,371.462,3.1,-6999,-6999,-6999,-6999
2007,0,234.68750,234,1630,0.311,33.785,292.5,1.925,-0.19,-0.19,0,97.043,-6999,67.102,-6999,3.038,46.3,5,35.95,15,0,25.646,85.847,370.82,3.91,3.5,12,178.1,789.2,415.7,-6999,150.711,-9999,-9999,-9999,18.564,-6999,-6999,370.82,3.1,-6999,-6999,-6999,-6999
2007,0,234.70833,234,1700,0.406,33.88,306.4,3.095,-0.734,-0.734,0,114.738,-6999,86.618,-6999,-8.94,45.5,5,36.3,15,0,25.372,85.826,369.813,3.946,3,12,231.5,806.718,432.6,-6999,152.191,-9999,-9999,-9999,18.604,-6999,-6999,369.813,3.1,-6999,-6999,-6999,-6999
2007,0,234.72917,234,1730,0.471,33.56,301.5,4.024,-0.831,-0.831,0,74.424,-6999,58.652,-6999,-15.131,44.15,5,36.5,15,0,25.591,85.796,369.431,3.864,3,12.5,128.2,579.256,307.2,-6999,106.897,-9999,-9999,-9999,18.414,-6999,-6999,369.431,3.1,-6999,-6999,-6999,-6999
2007,0,234.75000,234,1800,0.405,32.99,309,3.631,-0.461,-0.461,0,42.27,-6999,48.577,-6999,-38.868,42,5,36.6,15,0,26.206,85.809,370.336,3.712,3,13,3.831,367.874,196.7,-6999,65.721,-9999,-9999,-9999,18.188,-6999,-6999,370.336,3.1,-6999,-6999,-6999,-6999
2007,0,234.77083,234,1830,0.372,32.17,306.3,4.023,0.262,0.262,0,8.181,-6999,26.341,-6999,-62.443,39.65,5,36.65,15,0,27.299,85.815,370.837,3.492,3,12,-51.95,168.665,91.31,-6999,29.443,-9999,-9999,-9999,18.027,-6999,-6999,370.837,3.1,-6999,-6999,-6999,-6999
2007,0,234.79167,234,1900,0.319,31.08,309.2,3.369,0.969,0.969,0,-8.254,-6999,11.92,-6999,-80.047,37.6,5,36.6,15,0,29.487,85.824,371.729,3.183,3,12,-82.3,28.182,14.5,-6999,6.468,-9999,-9999,-9999,18.311,-6999,-6999,371.729,3.1,-6999,-6999,-6999,-6999
2007,0,234.81250,234,1930,0.283,29.945,310.2,2.853,1.41,1.41,0,-16.292,-6999,9.62,-6999,-85.563,35.9,5,36.4,15,0,31.952,85.848,372.303,2.879,2.5,12,-93.3,1.199,1.359,-6999,1.621,-9999,-9999,-9999,18.662,-6999,-6999,372.303,3.1,-6999,-6999,-6999,-6999
2007,0,234.83333,234,2000,0.133,28.86,324.1,1.846,1.341,1.341,0,-13.448,-6999,5.425,-6999,-82.431,34.5,5,36.1,15,0,34.152,85.887,374.448,2.617,2,12,-89,-0.221,0.575,-6999,1.621,-9999,-9999,-9999,18.755,-6999,-6999,374.448,3.1,-6999,-6999,-6999,-6999
2007,-1,234.85417,234,2030,0.103,27.71,23.04,1.462,-9999,-9999,0,6.847,-6999,-13.23,-6999,-75.623,33.4,5,35.8,15,0,38.259,85.93,379.922,2.295,2,12,-82.3,-0.236,0.474,-6999,1.607,-9999,-9999,-9999,19.246,-6999,-6999,379.922,3.1,-6999,-6999,-6999,-6999
2007,-1,234.87500,234,2100,0.257,26.68,58.84,0.862,-9999,-9999,0,-0.255,-6999,-2.676,-6999,-71.74,32.4,5,35.4,15,0,42.731,85.972,387.724,2.004,2,12,-77.86,-0.346,0.192,-6999,1.567,-9999,-9999,-9999,19.913,-6999,-6999,387.724,3.1,-6999,-6999,-6999,-6999
2007,0,234.89583,234,2130,0.111,26.37,83.7,0.844,-1.161,-1.161,0,-7.988,-6999,10.615,-6999,-66.181,31.6,5,35.05,15,0,43.99,85.992,384.576,1.925,2,12,-76.08,-0.433,-0.107,-6999,1.384,-9999,-9999,-9999,19.917,-6999,-6999,384.576,3.1,-6999,-6999,-6999,-6999
2007,0,234.91667,234,2200,0.061,27.07,195.3,0.508,-1.881,-1.881,0,-4.395,-6999,1.294,-6999,-61.754,30.8,5,34.7,15,0,42.96,85.978,374.079,2.042,2,12,-75.5,-0.442,-0.214,-6999,1.189,-9999,-9999,-9999,20.483,-6999,-6999,374.079,3.1,-6999,-6999,-6999,-6999
2007,-1,234.93750,234,2230,0.113,26.23,151.9,0.697,-9999,-9999,0,5.045,-6999,-0.431,-6999,-55.615,30.2,5,34.3,15,0,45.964,85.981,381.873,1.841,2,12,-74.32,-0.631,-0.257,-6999,0.926,-9999,-9999,-9999,20.748,-6999,-6999,381.873,3.1,-6999,-6999,-6999,-6999
2007,-1,234.95833,234,2300,0.179,25.49,123.4,0.832,-9999,-9999,0,22.327,-6999,-12.8,-6999,-54.071,29.6,5,33.9,15,0,49.051,85.959,386.112,1.662,2,12,-73.81,-0.709,-0.23,-6999,0.973,-9999,-9999,-9999,21.036,-6999,-6999,386.112,3.1,-6999,-6999,-6999,-6999
